entity_from,relationship_type,relationship_sub_type,entity_to
Pacific Ecommerce Pte Ltd,Shareholder,Institutional,Prime Energy Co. (ID)
Apex Health Pt,Ownership,Minor,Titan Capital BV
Asia Digital SARL,Ownership,Minor,Titan Tech Pt
Zenith Health Berhad,Ownership,Minor,Prime Investments Co.
Prime Pay Ltd,Shareholder,Major,Stellar Tech Co Ltd
Catalyst Resources Co.,Subsidiary,51% Owned,Orion Ecommerce Pte Ltd
Asia Solutions Pt,Ownership,Major,Delta Pay SARL
Gamma Assets Corp,Director,Managing Director,Orion Properties Sdn Bhd (KY)
Summit Logistics Sdn Bhd,Ownership,Indirect,Elite Finance SARL
Nexus Properties Pt,Investor,Venture Capital,Sigma Media Inc
Asia Energy Ltd,Ownership,Indirect,Gamma Assets PLC (ID)
Vertex Logistics SARL,Ownership,Major,Catalyst Partners GmbH (MY)
Prime Digital Co.,Subsidiary,60% Owned,Catalyst Group Limited (MY)
Asia Finance International,Director,Managing Director,Stellar Solutions Corp
Zenith Tech Co Ltd,Subsidiary,75% Owned,Catalyst Logistics Ltd (SG)
Prime Solutions SARL,Ownership,Indirect,Zenith Partners SARL (ID)
Nexus Investments GmbH,Ownership,Controlling,Vantage Solutions Pte Ltd
Orion Energy Limited,Director,Executive Director,Nexus Partners Limited
Synergy Infra Enterprises,Subsidiary,75% Owned,Horizon Ecommerce LLC
Fusion Digital Pt,Ownership,Direct,Omega Health International
Elite Partners Co Ltd,Ownership,Major,Vantage Partners Enterprises
Delta Pay SARL,Shareholder,Institutional,Crest Health Co Ltd (MY)
Nova Resources Corp,Ownership,Major,Nexus Media International
Crest Media Corp,Ownership,Minor,Prime Manufacturing Enterprises
Victory Finance LLC,Ownership,Controlling,Delta Properties Inc (MY)
Titan Partners Enterprises,Director,CTO,Orion Infra International
Elite Assets Co.,Ownership,Minor,Summit Investments GmbH (ID)
Catalyst Holdings International,Director,CFO,Gamma Properties Limited (MY)
Titan Logistics Enterprises,Ownership,Indirect,Crest Group BV
Beta Systems Co Ltd,Ownership,Indirect,Prime Resources Co Ltd
Nexus Digital Co.,Director,CFO,Beta Capital PLC
Beta Infra LLC,Director,CEO,Stellar Media Pt (ID)
Alpha Resources Co Ltd,Ownership,Direct,Gamma Group Sdn Bhd
Alpha Group GmbH,Ownership,Controlling,Beta Investments BV
Victory Capital International,Ownership,Controlling,Horizon Health Pt
Vertex Media Co.,Director,CEO,Summit Resources Pte Ltd
Crest Properties LLC,Subsidiary,75% Owned,Catalyst Media SARL
Pacific Investments Ltd,Ownership,Significant,Vantage Resources Pte Ltd
Beta Digital SARL,Director,Chairman,Victory Ventures Ltd (SG)
Horizon Energy GmbH,Ownership,Minor,Pacific Infra SARL
Stellar Energy Berhad,Director,Chairman,Summit Group Enterprises (BVI)
Fusion Capital Corp,Subsidiary,85% Owned,Elite Pay GmbH (MY)
Gamma Media International,Ownership,Controlling,Victory Holdings Inc
Omega Media BV,Ownership,Minor,Victory Partners Sdn Bhd
Asia Capital Co.,Subsidiary,60% Owned,Catalyst Properties Berhad
Gamma Health Co.,Subsidiary,51% Owned,Global Assets PLC
Prime Pay Co Ltd,Ownership,Controlling,Pacific Group GmbH
Summit Investments BV,Ownership,Significant,Prime Health Berhad
Catalyst Holdings International,Subsidiary,90% Owned,Horizon Partners Inc
Atlas Pay GmbH,Ownership,Indirect,Global Health Corp (HK)
Atlas Solutions PLC,Ownership,Indirect,Asia Partners International (TH)
Horizon Logistics GmbH,Ownership,Significant,Titan Group Co.
Zenith Resources GmbH,Subsidiary,51% Owned,Asia Ventures Co.
Beta Manufacturing BV,Ownership,Direct,Victory Capital Co. (KY)
Omega Energy Corp,Subsidiary,90% Owned,Vertex Holdings Inc
Catalyst Resources International,Ownership,Major,Stellar Partners GmbH
Fusion Pay Sdn Bhd,Ownership,Major,Asia Capital Sdn Bhd (KY)
Vertex Media Ltd,Subsidiary,60% Owned,Apex Ecommerce PLC
Stellar Holdings Co.,Ownership,Direct,Crest Systems Corp
Orion Infra Corp,Ownership,Direct,Titan Logistics International (MY)
Prime Group PLC,Subsidiary,90% Owned,Fusion Resources Co.
Quantum Logistics Sdn Bhd,Ownership,Major,Asia Solutions Co Ltd (ID)
Asia Resources Sdn Bhd,Ownership,Major,Quantum Resources LLC
Nexus Capital Limited,Subsidiary,75% Owned,Orion Group PLC (BVI)
Zenith Group SARL,Ownership,Minor,Quantum Group LLC
Apex Manufacturing Sdn Bhd,Subsidiary,60% Owned,Zenith Resources Co Ltd
Delta Finance Pt,Director,CFO,Apex Tech LLC
Asia Resources PLC,Director,Executive Director,Elite Digital BV
Synergy Logistics SARL,Ownership,Significant,Pinnacle Systems PLC (HK)
Summit Media Pt,Ownership,Controlling,Gamma Manufacturing Enterprises
Delta Resources Sdn Bhd,Subsidiary,51% Owned,Summit Ventures Limited
Nova Health Corp,Investor,Series B,Zenith Group Sdn Bhd
Delta Energy Inc,Shareholder,Major,Prime Holdings Corp (SG)
Pacific Pay International,Subsidiary,75% Owned,Titan Group PLC
Global Group Limited,Director,CTO,Sigma Finance Corp
Delta Ecommerce Co.,Subsidiary,51% Owned,Vertex Logistics Enterprises
Nexus Energy Enterprises,Subsidiary,85% Owned,Victory Group Berhad
Orion Partners Pt,Subsidiary,60% Owned,Nova Partners Co Ltd
Victory Health Limited,Ownership,Direct,Victory Infra Ltd
Asia Tech Enterprises,Shareholder,Institutional,Vantage Partners International
Vertex Ventures Co Ltd,Ownership,Major,Delta Pay GmbH (ID)
Sigma Solutions Enterprises,Ownership,Significant,Vertex Capital Co Ltd (MY)
Vantage Resources International,Ownership,Minor,Zenith Ecommerce Pt
Synergy Tech PLC,Ownership,Direct,Elite Group Limited (ID)
Crest Logistics Limited,Subsidiary,60% Owned,Beta Manufacturing Corp
Crest Resources Ltd,Subsidiary,90% Owned,Nexus Resources Inc (KY)
Alpha Finance Corp,Ownership,Major,Quantum Partners PLC
Nexus Digital GmbH,Ownership,Direct,Zenith Health Inc
Stellar Health Co.,Ownership,Direct,Asia Finance Corp (BVI)
Delta Properties Co Ltd,Subsidiary,85% Owned,Gamma Finance Berhad (KY)
Pacific Energy Limited,Subsidiary,90% Owned,Nova Assets Ltd (BVI)
Catalyst Ventures Ltd,Investor,Series B,Apex Pay PLC
Beta Ecommerce BV,Ownership,Direct,Quantum Solutions Enterprises (HK)
Crest Infra Enterprises,Ownership,Major,Nexus Tech Pte Ltd (MY)
Omega Holdings Ltd,Subsidiary,85% Owned,Delta Solutions Berhad
Global Finance GmbH,Ownership,Significant,Alpha Digital GmbH
Stellar Energy LLC,Investor,Venture Capital,Beta Holdings Co Ltd (TH)
Quantum Solutions Sdn Bhd,Ownership,Significant,Prime Ecommerce Ltd (KY)
Alpha Capital BV,Director,Executive Director,Victory Ventures Pte Ltd
Synergy Ecommerce Limited,Director,CFO,Delta Manufacturing Limited
Nova Partners GmbH,Subsidiary,90% Owned,Vertex Capital Ltd (TH)
Crest Solutions Limited,Ownership,Controlling,Prime Properties Pte Ltd
Orion Holdings Pte Ltd,Ownership,Major,Alpha Digital Enterprises
Elite Pay SARL,Ownership,Significant,Asia Partners Co.
Gamma Systems Corp,Director,Independent Director,Sigma Group Enterprises
Omega Ventures GmbH,Ownership,Indirect,Beta Tech SARL
Gamma Digital Co.,Subsidiary,100% Owned,Gamma Tech SARL
Crest Ecommerce Co Ltd,Ownership,Direct,Atlas Infra Sdn Bhd
Stellar Solutions Enterprises,Ownership,Indirect,Global Digital Pte Ltd
Horizon Capital SARL,Ownership,Indirect,Pinnacle Infra BV (TH)
Orion Investments Ltd,Director,Independent Director,Alpha Health Berhad
Catalyst Logistics LLC,Ownership,Controlling,Vantage Logistics Pt
Sigma Systems Pte Ltd,Ownership,Direct,Omega Energy Inc
Alpha Manufacturing GmbH,Subsidiary,85% Owned,Pinnacle Group Enterprises
Prime Manufacturing GmbH,Ownership,Direct,Pinnacle Media Pt
Delta Media Inc,Investor,Series C,Elite Health Co Ltd
Beta Manufacturing Berhad,Investor,Series B,Catalyst Media SARL
Nexus Systems Inc,Investor,Series C,Zenith Properties Pt
Catalyst Ventures Ltd,Ownership,Indirect,Horizon Assets Corp
Pacific Pay Sdn Bhd,Ownership,Controlling,Alpha Holdings Corp
Catalyst Ventures Pt,Subsidiary,75% Owned,Vertex Health Limited (HK)
Global Holdings Corp,Subsidiary,60% Owned,Apex Capital Limited (HK)
Apex Capital Co.,Shareholder,Institutional,Omega Media PLC
Sigma Capital Co Ltd,Ownership,Controlling,Pacific Solutions Sdn Bhd
Summit Digital SARL,Subsidiary,60% Owned,Pinnacle Holdings SARL (BVI)
Pacific Media International,Subsidiary,85% Owned,Pacific Properties LLC
Apex Systems Corp,Subsidiary,100% Owned,Gamma Pay LLC
Pacific Tech Sdn Bhd,Subsidiary,51% Owned,Omega Partners Co.
Stellar Solutions Limited,Ownership,Controlling,Asia Group Co Ltd (ID)
Asia Resources Ltd,Ownership,Major,Stellar Resources Limited
Apex Logistics Co Ltd,Ownership,Direct,Titan Media Limited
Fusion Systems GmbH,Ownership,Controlling,Vantage Holdings GmbH
Quantum Solutions Corp,Subsidiary,85% Owned,Gamma Ventures Pt
Beta Capital Co Ltd,Ownership,Indirect,Victory Media Berhad
Synergy Infra Co.,Shareholder,Institutional,Horizon Manufacturing BV
Asia Solutions Enterprises,Subsidiary,85% Owned,Apex Holdings BV (HK)
Atlas Partners PLC,Subsidiary,85% Owned,Victory Infra Berhad (BVI)
Atlas Infra Limited,Shareholder,Major,Global Manufacturing Limited
Summit Partners International,Subsidiary,51% Owned,Beta Capital Pt (SG)
Crest Solutions SARL,Shareholder,Major,Beta Digital Ltd
Titan Investments Pt,Ownership,Indirect,Horizon Health Pte Ltd
Nova Partners Corp,Subsidiary,100% Owned,Atlas Systems Pt
Stellar Pay Limited,Ownership,Major,Omega Manufacturing LLC
Global Holdings Enterprises,Shareholder,Institutional,Stellar Partners Pt
Atlas Finance Corp,Shareholder,Major,Delta Investments Sdn Bhd (SG)
Synergy Energy Berhad,Ownership,Direct,Catalyst Properties Co Ltd
Beta Digital Enterprises,Ownership,Minor,Beta Ecommerce Pt (TH)
Stellar Infra Enterprises,Ownership,Controlling,Apex Health Corp
Delta Group GmbH,Investor,Series C,Nova Investments PLC
Atlas Systems Corp,Ownership,Direct,Omega Partners Corp
Pacific Infra Pte Ltd,Subsidiary,100% Owned,Orion Partners Enterprises
Omega Health BV,Ownership,Minor,Gamma Capital Inc
Elite Capital GmbH,Ownership,Major,Orion Holdings Corp
Orion Infra Pt,Ownership,Significant,Elite Holdings Pte Ltd
Atlas Infra Sdn Bhd,Investor,Angel,Apex Investments Pt (HK)
Delta Health Co Ltd,Subsidiary,60% Owned,Vertex Properties Berhad (BVI)
Beta Tech International,Ownership,Controlling,Victory Solutions International (MY)
Omega Investments SARL,Ownership,Minor,Pacific Infra International
Synergy Partners GmbH,Ownership,Minor,Prime Resources LLC
Quantum Manufacturing Pte Ltd,Subsidiary,51% Owned,Nexus Investments LLC (TH)
Nova Capital Pt,Ownership,Minor,Vertex Logistics Sdn Bhd
Nova Infra Inc,Subsidiary,60% Owned,Omega Tech Co Ltd (HK)
Orion Pay Enterprises,Subsidiary,85% Owned,Atlas Digital Berhad
Victory Resources PLC,Subsidiary,75% Owned,Titan Tech Pte Ltd
Global Manufacturing Enterprises,Ownership,Minor,Delta Finance Pt (BVI)
Atlas Systems Berhad,Ownership,Major,Omega Group Ltd
Pacific Digital PLC,Director,CFO,Stellar Ventures Limited
Orion Infra SARL,Investor,Angel,Omega Finance GmbH
Zenith Health Co.,Subsidiary,100% Owned,Orion Solutions Sdn Bhd
Alpha Capital SARL,Ownership,Minor,Elite Media Co Ltd
Summit Infra Limited,Shareholder,Major,Nova Solutions Enterprises (MY)
Catalyst Pay BV,Ownership,Significant,Delta Capital Sdn Bhd (HK)
Asia Ecommerce Enterprises,Ownership,Minor,Omega Properties Pte Ltd (KY)
Beta Pay Co Ltd,Ownership,Controlling,Horizon Health GmbH
Quantum Health PLC,Shareholder,Institutional,Zenith Media PLC
Nexus Ventures LLC,Ownership,Significant,Zenith Digital Inc
Victory Investments Inc,Ownership,Minor,Omega Group BV
Prime Manufacturing GmbH,Ownership,Major,Vertex Resources Enterprises
Zenith Systems GmbH,Subsidiary,60% Owned,Fusion Media Ltd
Beta Group Enterprises,Subsidiary,85% Owned,Quantum Tech Ltd
Asia Health Pte Ltd,Ownership,Minor,Beta Group Inc
Synergy Capital Sdn Bhd,Director,Non-Executive,Sigma Systems Co.
Elite Capital SARL,Ownership,Controlling,Orion Ventures Pte Ltd (ID)
Fusion Energy Co Ltd,Subsidiary,75% Owned,Global Holdings Inc
Catalyst Investments Corp,Ownership,Major,Prime Infra Enterprises
Zenith Group International,Shareholder,Institutional,Sigma Media International
Atlas Tech Berhad,Subsidiary,60% Owned,Quantum Manufacturing International (ID)
Vertex Ecommerce GmbH,Subsidiary,60% Owned,Fusion Partners Berhad
Atlas Infra International,Ownership,Minor,Pinnacle Solutions Co.
Pacific Tech Corp,Ownership,Direct,Summit Group Inc
Atlas Media International,Investor,Private Equity,Omega Assets SARL
Horizon Pay International,Director,CTO,Pinnacle Manufacturing SARL
Orion Capital Berhad,Ownership,Significant,Synergy Infra Co.
Delta Group BV,Ownership,Significant,Vantage Properties PLC
Nova Digital Co.,Investor,Angel,Delta Resources Ltd
Beta Group GmbH,Ownership,Indirect,Fusion Capital Pte Ltd (MY)
Prime Capital Berhad,Shareholder,Minor,Horizon Logistics Limited
Fusion Properties Pt,Subsidiary,100% Owned,Nexus Digital PLC
Catalyst Infra Berhad,Ownership,Minor,Nexus Ecommerce Sdn Bhd
Pinnacle Health PLC,Subsidiary,100% Owned,Crest Ecommerce SARL
Orion Energy LLC,Ownership,Controlling,Beta Investments PLC
Fusion Properties International,Shareholder,Institutional,Omega Pay Co.
Pacific Finance Ltd,Shareholder,Major,Nova Energy Corp (BVI)
Victory Tech PLC,Ownership,Controlling,Pinnacle Logistics Pt
Horizon Manufacturing Sdn Bhd,Subsidiary,60% Owned,Nova Tech BV (HK)
Victory Manufacturing Limited,Ownership,Significant,Quantum Digital Corp (TH)
Pacific Resources Sdn Bhd,Subsidiary,75% Owned,Orion Media GmbH
Titan Partners BV,Ownership,Indirect,Orion Infra GmbH
Vantage Group Limited,Ownership,Major,Nexus Energy Pt
Beta Assets BV,Ownership,Significant,Atlas Logistics Berhad (MY)
Crest Logistics Sdn Bhd,Ownership,Minor,Vertex Tech Sdn Bhd
Orion Infra Pt,Subsidiary,100% Owned,Crest Capital Pte Ltd (KY)
Zenith Capital International,Subsidiary,75% Owned,Zenith Systems PLC
Quantum Infra Pte Ltd,Shareholder,Minor,Vertex Holdings Inc
Omega Tech PLC,Subsidiary,60% Owned,Atlas Logistics GmbH
Beta Ecommerce Ltd,Ownership,Direct,Fusion Systems BV
Gamma Capital PLC,Ownership,Controlling,Summit Partners Co.
Atlas Assets Pte Ltd,Ownership,Minor,Asia Logistics Co.
Atlas Investments Limited,Director,CEO,Orion Ventures International
Gamma Logistics International,Shareholder,Minor,Atlas Partners Ltd
Summit Partners Limited,Ownership,Major,Horizon Group Sdn Bhd
Zenith Assets Enterprises,Ownership,Significant,Delta Energy Pte Ltd
Catalyst Energy International,Ownership,Controlling,Beta Ecommerce PLC
Catalyst Holdings Ltd,Director,CTO,Beta Resources Corp
Quantum Capital Corp,Director,CEO,Atlas Group Enterprises
Gamma Holdings Limited,Ownership,Major,Synergy Capital Pt
Orion Digital LLC,Shareholder,Major,Zenith Logistics Co Ltd
Nexus Tech Enterprises,Subsidiary,51% Owned,Nexus Properties Sdn Bhd
Summit Media Sdn Bhd,Subsidiary,75% Owned,Titan Solutions International
Horizon Digital GmbH,Shareholder,Major,Stellar Ecommerce Pt (HK)
Zenith Ecommerce Pt,Ownership,Minor,Zenith Logistics GmbH (HK)
Vertex Properties Co Ltd,Ownership,Major,Titan Manufacturing Sdn Bhd
Horizon Holdings PLC,Ownership,Direct,Fusion Tech Pte Ltd
Nova Assets Inc,Subsidiary,51% Owned,Omega Pay Pte Ltd
Sigma Holdings Pte Ltd,Ownership,Direct,Prime Systems Sdn Bhd
Orion Ecommerce Corp,Ownership,Significant,Summit Solutions Sdn Bhd
Catalyst Ventures Sdn Bhd,Subsidiary,100% Owned,Sigma Pay Pte Ltd (MY)
Prime Resources Enterprises,Investor,Venture Capital,Pacific Digital Ltd
Horizon Capital Inc,Subsidiary,100% Owned,Pinnacle Ecommerce GmbH (SG)
Beta Properties Pte Ltd,Ownership,Controlling,Gamma Partners International
Prime Properties Co.,Subsidiary,90% Owned,Atlas Solutions Co Ltd
Fusion Ventures Co Ltd,Ownership,Significant,Alpha Holdings Corp
Quantum Infra BV,Investor,Angel,Victory Ecommerce Enterprises (SG)
Nexus Systems Pt,Shareholder,Major,Zenith Properties Berhad
Asia Health Berhad,Subsidiary,85% Owned,Stellar Ecommerce Ltd
Prime Energy Corp,Ownership,Direct,Zenith Partners Pt (MY)
Elite Resources Sdn Bhd,Subsidiary,75% Owned,Orion Solutions Berhad
Quantum Media International,Ownership,Indirect,Sigma Pay BV
Gamma Investments Pte Ltd,Ownership,Controlling,Vertex Ventures GmbH (SG)
Dr. Wong,Director,Independent Director,Pacific Logistics Enterprises (KY)
Stellar Pay SARL,Ownership,Controlling,Delta Ventures Berhad (TH)
Crest Tech GmbH,Ownership,Major,Pacific Investments GmbH
Stellar Assets Co Ltd,Ownership,Indirect,Vertex Infra LLC
Atlas Capital International,Subsidiary,75% Owned,Victory Assets Co Ltd
Omega Finance Berhad,Ownership,Indirect,Beta Partners Corp
Fusion Tech Ltd,Ownership,Significant,Delta Holdings GmbH
Stellar Partners Enterprises,Subsidiary,100% Owned,Fusion Tech Co.
Nexus Ecommerce Corp,Director,Managing Director,Pinnacle Energy Inc
Victory Systems Corp,Ownership,Indirect,Sigma Finance Pt
Crest Infra Limited,Subsidiary,100% Owned,Asia Ecommerce PLC
Delta Infra GmbH,Ownership,Controlling,Delta Assets Sdn Bhd
Stellar Pay Berhad,Director,Chairman,Victory Assets Inc (HK)
Vertex Energy GmbH,Ownership,Major,Beta Media Co Ltd
Horizon Investments Pt,Ownership,Minor,Nova Capital PLC (ID)
Alpha Systems SARL,Investor,Venture Capital,Horizon Infra Ltd
Synergy Logistics Pt,Ownership,Significant,Titan Partners Enterprises
Horizon Ventures Pt,Investor,Series B,Beta Pay International
Omega Partners LLC,Subsidiary,100% Owned,Prime Finance Pte Ltd
Orion Ecommerce Ltd,Ownership,Major,Omega Group Inc
Gamma Health Corp,Ownership,Indirect,Global Logistics Co Ltd
Beta Holdings Sdn Bhd,Ownership,Controlling,Vantage Partners International
Alpha Energy Berhad,Subsidiary,60% Owned,Apex Digital Berhad
Synergy Finance Ltd,Ownership,Indirect,Delta Properties Ltd (SG)
Omega Logistics Corp,Director,Managing Director,Asia Tech GmbH
Asia Investments Pt,Ownership,Significant,Pinnacle Capital BV (BVI)
Synergy Health PLC,Ownership,Indirect,Omega Logistics PLC
Summit Pay Co.,Ownership,Indirect,Victory Partners Limited (SG)
Fusion Tech Co.,Director,CTO,Beta Media International (HK)
Victory Pay Inc,Ownership,Minor,Sigma Group BV
Fusion Health SARL,Subsidiary,51% Owned,Global Health Limited
Asia Resources BV,Director,Non-Executive,Prime Digital Ltd
Vertex Infra GmbH,Ownership,Direct,Omega Solutions Sdn Bhd
Asia Holdings Ltd,Ownership,Controlling,Global Investments GmbH
Atlas Ventures Corp,Ownership,Indirect,Fusion Media BV
Vertex Holdings Co.,Director,Non-Executive,Nova Ventures Pte Ltd
Catalyst Solutions Berhad,Subsidiary,85% Owned,Delta Ventures BV (SG)
Synergy Pay Co Ltd,Director,Managing Director,Zenith Energy Enterprises
Mr. Singh,Director,CTO,Sigma Properties Berhad (HK)
Catalyst Tech Pt,Ownership,Major,Catalyst Investments Berhad
Alpha Health Sdn Bhd,Ownership,Minor,Pacific Systems Pte Ltd
Catalyst Solutions Pt,Subsidiary,60% Owned,Sigma Capital BV
Global Systems LLC,Shareholder,Major,Fusion Tech PLC (BVI)
Sigma Resources SARL,Subsidiary,100% Owned,Pacific Investments Co Ltd
Global Health BV,Ownership,Major,Nexus Infra PLC
Beta Capital Co.,Investor,Series B,Delta Capital BV
Orion Ventures International,Ownership,Minor,Omega Pay Limited
Apex Assets Inc,Subsidiary,90% Owned,Stellar Assets LLC
Alpha Group Pt,Shareholder,Major,Crest Infra SARL (TH)
Victory Ventures Enterprises,Shareholder,Minor,Pacific Manufacturing Ltd (ID)
Delta Ecommerce Pt,Ownership,Controlling,Titan Solutions Co.
Nexus Health Co Ltd,Ownership,Indirect,Asia Logistics Limited (ID)
Zenith Partners SARL,Ownership,Minor,Horizon Logistics Limited
Pinnacle Digital LLC,Investor,Venture Capital,Pinnacle Resources Ltd
Omega Systems Ltd,Subsidiary,75% Owned,Pacific Health Co.
Crest Ecommerce Pt,Ownership,Major,Quantum Systems Limited
Nova Partners GmbH,Ownership,Significant,Catalyst Health International
Beta Manufacturing GmbH,Ownership,Indirect,Delta Partners Berhad
Vantage Digital GmbH,Subsidiary,100% Owned,Crest Infra LLC
Summit Energy Ltd,Ownership,Direct,Omega Systems Inc (MY)
Nova Ventures Corp,Ownership,Controlling,Vantage Group PLC (SG)
Prime Pay Limited,Subsidiary,85% Owned,Beta Systems SARL
Nova Finance Berhad,Director,CFO,Catalyst Partners PLC (MY)
Asia Manufacturing Co Ltd,Ownership,Minor,Pacific Holdings SARL
Orion Digital Co Ltd,Ownership,Controlling,Vertex Finance Enterprises
Crest Logistics Corp,Subsidiary,75% Owned,Catalyst Pay Pte Ltd
Delta Logistics GmbH,Director,CTO,Omega Group PLC
Beta Digital BV,Ownership,Indirect,Nexus Properties Ltd
Pacific Systems Pte Ltd,Shareholder,Institutional,Horizon Pay LLC (SG)
Elite Infra BV,Subsidiary,60% Owned,Crest Holdings Berhad
Apex Finance PLC,Ownership,Controlling,Beta Finance International
Global Partners LLC,Ownership,Indirect,Nova Infra Berhad
Orion Logistics Pte Ltd,Ownership,Direct,Alpha Finance Pte Ltd (SG)
Gamma Manufacturing Co.,Subsidiary,100% Owned,Synergy Assets Co. (HK)
Vertex Pay Ltd,Subsidiary,85% Owned,Horizon Digital Pte Ltd (KY)
Omega Ecommerce LLC,Subsidiary,85% Owned,Vantage Logistics Limited (HK)
Asia Manufacturing SARL,Ownership,Controlling,Atlas Infra Berhad
Atlas Investments Co Ltd,Subsidiary,100% Owned,Pacific Energy BV
Pinnacle Tech Enterprises,Ownership,Indirect,Sigma Properties LLC
Synergy Solutions Limited,Ownership,Significant,Summit Properties SARL
Vantage Partners Sdn Bhd,Subsidiary,90% Owned,Crest Media Ltd
Quantum Health Corp,Ownership,Minor,Gamma Infra Pte Ltd
Crest Logistics PLC,Ownership,Controlling,Apex Tech Sdn Bhd
Gamma Logistics LLC,Ownership,Minor,Elite Energy LLC (SG)
Delta Ventures Limited,Director,Independent Director,Vantage Logistics Enterprises
Beta Infra Corp,Ownership,Significant,Titan Capital Enterprises
Summit Ecommerce Co.,Ownership,Minor,Vertex Pay Inc (HK)
Orion Manufacturing Sdn Bhd,Ownership,Major,Summit Partners GmbH
Victory Infra International,Ownership,Major,Delta Systems Sdn Bhd
Asia Capital Co Ltd,Ownership,Direct,Nexus Tech Enterprises
Nexus Finance Ltd,Shareholder,Institutional,Global Digital GmbH
Nexus Tech SARL,Investor,Venture Capital,Vertex Pay GmbH (SG)
Crest Solutions Co.,Ownership,Major,Crest Systems Co Ltd
Nexus Finance Pt,Ownership,Controlling,Asia Infra Limited
Zenith Logistics PLC,Shareholder,Minor,Sigma Health Pte Ltd
Asia Digital LLC,Ownership,Significant,Delta Ecommerce Co Ltd
Pinnacle Assets Corp,Ownership,Direct,Gamma Finance Berhad
Apex Properties Sdn Bhd,Director,Managing Director,Sigma Health Pte Ltd (BVI)
Vertex Finance Inc,Ownership,Controlling,Quantum Tech PLC (SG)
Apex Properties Limited,Ownership,Major,Zenith Investments SARL (HK)
Apex Media SARL,Ownership,Controlling,Synergy Capital LLC (BVI)
Elite Pay Sdn Bhd,Ownership,Minor,Prime Logistics Corp
Fusion Finance BV,Subsidiary,90% Owned,Sigma Systems Co Ltd
Zenith Manufacturing Sdn Bhd,Ownership,Indirect,Catalyst Partners GmbH
Asia Capital Enterprises,Subsidiary,75% Owned,Quantum Energy Pte Ltd (TH)
Nova Holdings Pte Ltd,Ownership,Minor,Pacific Solutions Enterprises
Beta Holdings Enterprises,Shareholder,Institutional,Vantage Group Co Ltd
Asia Media SARL,Ownership,Controlling,Synergy Health BV
Crest Infra Co.,Ownership,Controlling,Quantum Partners Limited
Delta Holdings Berhad,Ownership,Indirect,Pinnacle Ventures Co Ltd (MY)
Alpha Media SARL,Subsidiary,51% Owned,Fusion Pay Corp
Vantage Ventures LLC,Ownership,Significant,Zenith Digital LLC (HK)
Titan Media Enterprises,Ownership,Major,Alpha Group Enterprises
Elite Manufacturing Enterprises,Ownership,Major,Prime Tech SARL (BVI)
Catalyst Finance LLC,Ownership,Controlling,Crest Solutions BV (ID)
Fusion Manufacturing Pt,Shareholder,Institutional,Beta Capital Co Ltd (SG)
Fusion Group SARL,Ownership,Direct,Orion Health SARL
Stellar Resources LLC,Ownership,Indirect,Nexus Finance Inc (BVI)
Summit Manufacturing Ltd,Ownership,Minor,Crest Assets LLC
Synergy Assets Berhad,Subsidiary,100% Owned,Asia Logistics Berhad
Sigma Tech SARL,Ownership,Direct,Victory Ecommerce Enterprises
Global Health BV,Subsidiary,85% Owned,Beta Group SARL (KY)
Beta Pay Limited,Ownership,Direct,Global Ecommerce LLC
Gamma Group International,Ownership,Indirect,Summit Group LLC
Catalyst Group BV,Ownership,Direct,Victory Systems Pt
Summit Manufacturing Sdn Bhd,Subsidiary,51% Owned,Pinnacle Capital Co Ltd
Nexus Finance Inc,Ownership,Direct,Vantage Energy SARL
Elite Properties Limited,Ownership,Indirect,Synergy Solutions Co. (MY)
Atlas Assets Corp,Subsidiary,90% Owned,Victory Group GmbH
Apex Logistics Inc,Director,Independent Director,Zenith Solutions Pte Ltd
Summit Digital International,Director,Managing Director,Orion Solutions Limited
Apex Properties Inc,Ownership,Minor,Victory Partners Corp
Nexus Ventures Sdn Bhd,Subsidiary,51% Owned,Asia Manufacturing Co Ltd
Pinnacle Capital Sdn Bhd,Ownership,Major,Vantage Ventures BV (BVI)
Crest Ecommerce Enterprises,Subsidiary,75% Owned,Apex Resources Limited (KY)
Fusion Group Co Ltd,Subsidiary,85% Owned,Alpha Media Co Ltd (TH)
Stellar Capital Enterprises,Director,Managing Director,Crest Group Pt
Alpha Finance Pt,Subsidiary,51% Owned,Atlas Ecommerce Corp
Prime Capital Co Ltd,Subsidiary,75% Owned,Horizon Partners LLC
Beta Solutions Ltd,Shareholder,Major,Beta Partners LLC (BVI)
Global Assets Corp,Ownership,Minor,Delta Group Inc (ID)
Pacific Media BV,Ownership,Significant,Summit Solutions International
Catalyst Media PLC,Ownership,Indirect,Apex Logistics LLC (TH)
Summit Partners Pt,Subsidiary,100% Owned,Orion Finance Limited
Catalyst Properties Enterprises,Ownership,Controlling,Catalyst Partners Inc (KY)
Nexus Holdings Ltd,Ownership,Indirect,Sigma Infra BV (MY)
Pacific Ecommerce Berhad,Subsidiary,90% Owned,Beta Group Ltd
Prime Media SARL,Investor,Series C,Alpha Systems GmbH
Elite Partners SARL,Ownership,Direct,Crest Assets Pt (SG)
Zenith Digital Co Ltd,Ownership,Indirect,Elite Ventures Ltd
Horizon Health Pte Ltd,Ownership,Controlling,Stellar Investments Ltd (HK)
Stellar Holdings Ltd,Ownership,Minor,Asia Logistics Inc (MY)
